Idő (mp);Repülési magasság (cm);Elfordulás szöge (fok)
1;10;0
2;56;4
3;104;-1
4;156;13
5;197;19
6;252;17
7;305;5
8;364;181
9;419;-1
10;465;-9
11;513;-1
12;508;-11
13;510;-183
14;511;5
15;520;1
16;527;16
17;528;0
18;529;0
19;528;183
20;533;-11
21;539;-18
22;549;-19
23;547;1
24;555;-13
25;554;0
26;549;-17
27;557;13
28;607;6
29;650;-9
30;709;-3
31;751;-15
32;808;-6
33;862;17
34;860;15
35;889;-6
36;870;-14
37;871;1
38;865;7
39;869;-3
40;873;-16
41;849;0
42;824;0
43;796;9
44;777;3
45;806;16
46;794;-10
47;791;-10
48;761;10
49;788;-11
50;800;-1
51;787;-8
52;785;-6
53;784;10
54;793;-1
55;769;8
56;795;-16
57;809;-19
58;804;-18
59;782;2
60;797;20
61;793;-3
62;803;20
63;782;-19
64;770;-18
65;745;-8
66;758;-4
67;762;20
68;749;8
69;757;5
70;778;-16
71;748;15
72;762;-1
73;762;-20
74;760;1
75;744;-14
76;747;-8
77;746;11
78;726;-19
79;744;-5
80;773;-190
81;764;1
82;755;11
83;771;-18
84;752;0
85;741;-11
86;715;1
87;693;14
88;665;19
89;682;12
90;710;0
91;697;18
92;679;0
93;694;19
94;715;10
95;693;13
96;665;10
97;647;0
98;642;19
99;644;11
100;631;20
101;617;0
102;594;10
103;582;8
104;595;6
105;610;-3
106;632;-3
107;610;6
108;584;13
109;583;10
110;580;11
111;605;14
112;614;11
113;633;-3
114;628;1
115;617;18
116;590;1
117;608;9
118;637;17
119;644;8
120;647;18
121;618;18
122;597;0
123;585;4
124;555;15
125;564;5
126;577;20
127;586;13
128;585;10
129;581;9
130;580;18
131;572;12
132;548;9
133;570;12
134;542;20
135;516;3
136;493;7
137;503;16
138;479;16
139;488;14
140;482;3
141;503;6
142;494;2
143;518;10
144;528;12
145;544;7
146;545;15
147;559;-3
148;563;10
149;554;10
150;545;-2
151;522;2
152;522;-3
153;547;4
154;549;9
155;539;9
156;550;4
157;531;17
158;536;12
159;556;-1
160;568;7
161;592;17
162;576;18
163;592;4
164;575;0
165;546;17
166;528;18
167;482;10
168;425;10
169;391;17
170;360;3
171;361;20
172;357;1
173;341;3
174;322;5
175;310;-4
176;270;-3
177;235;4
178;210;4
179;200;10
180;191;2
181;201;20
182;230;18
183;248;-1
184;278;-5
185;320;0
186;364;-5
187;340;10
188;281;9
189;243;11
190;185;15
191;148;18
192;101;-1
193;91;17
194;83;2
195;69;-4
196;51;1
197;44;19
198;31;9
199;16;7
200;11;3
